,Predicted probability,Observed probability,Observed probability histogram,Observed probability bin edges,Delta,Predicted probability interp,Observed probability interp
28,0.006430852345979732,0.006401430520382778,,,0.01620270525338674,0.2828282828282829,0.3117763593122853
29,0.00643227666631363,0.006402892026542095,,,0.00010301838232151805,0.29292929292929293,0.3230012370014479
30,0.006438538521960857,0.006409317483230814,,,0.011960382256423152,0.30303030303030304,0.33421470796312036
31,0.00644684936764317,0.006417845759712826,,,5.750619090549858e-05,0.31313131313131315,0.34541580727372534
32,0.006449424197206732,0.006420488021310566,,,2.942182559695361e-05,0.32323232323232326,0.3566035874773029
33,0.006473534040813522,0.006445230847393457,,,0.0006736809811378475,0.33333333333333337,0.36777711544034786
34,0.00648394634379823,0.0064559173924640945,,,0.0018865628644059163,0.3434343434343435,0.37893546948678214
35,0.006503391900247291,0.006475876522955004,,,0.0003384824381630347,0.3535353535353536,0.390077736766145
36,0.006557007832140083,0.006530917982703555,,,0.006314740184832468,0.36363636363636365,0.40120301081557586
37,0.006562535500938105,0.006536593408320579,,,0.0001305525733569235,0.37373737373737376,0.4123103892820026
38,0.006645876471508161,0.006622179852910692,,,4.8637687071528823e-05,0.38383838383838387,0.42339897177557173
39,0.006677470252112516,0.0066546335158911285,,,0.022346805152933524,0.393939393939394,0.43446785782931163
40,0.006717121187430397,0.006695370297716496,,,0.00014218930907572425,0.4040404040404041,0.4455161449428382
41,0.006719283213552418,0.006697591744042719,,,0.00044004298661382,0.4141414141414142,0.4565429266905524
42,0.006747381394548224,0.006726464158255507,,,0.00531080824633634,0.42424242424242425,0.4675472908764683
43,0.006756657885944595,0.006735997071208311,,,0.0014462652156335132,0.43434343434343436,0.47852831771953075
44,0.006760471425848791,0.006739916141962676,,,0.0008156174677513839,0.4444444444444445,0.489485078054241
45,0.00682211276327771,0.00680327265516234,,,0.0004382572738963475,0.4545454545454546,0.5004166315322955
46,0.006826031537112254,0.0068073010654817745,,,0.000865713996030304,0.4646464646464647,0.5113220248115535
47,0.006836043171785877,0.006817593120586607,,,0.012193844098042805,0.4747474747474748,0.52220028971881
48,0.006883990082149238,0.006866889404875787,,,0.0002366249712174584,0.48484848484848486,0.5330504413731061
49,0.006893915758132141,0.006877095740110861,,,0.0008545422965767768,0.494949494949495,0.5438714762559576
50,0.006907643548348719,0.006891212442185823,,,0.0003150376032301505,0.5050505050505051,0.5546623702147027
51,0.007017277362762142,0.007003982993438629,,,0.000495418550063853,0.5151515151515152,0.5654220763844702
52,0.007138086708514679,0.007128311465654513,,,0.019650611136787233,0.5252525252525253,0.5761495230134229
53,0.007146555275087008,0.0071370291545056475,,,0.014572042830166554,0.5353535353535354,0.586843611175091
